"MONTH","MLY-TAVG-NORMAL"
"Jan",49.2
"Feb",52.1
"Mar",59.2
"Apr",67.3
"May",75.2
"Jun",81
"Jul",83.4
"Aug",83.7
"Sep",77.8
"Oct",69
"Nov",58.4
"Dec",50.4
